Date,ELY
1996-03-11,26.125
1996-03-12,25.125
1996-03-13,25.625
1996-03-14,26.875
1996-03-15,27.0
1996-03-18,27.75
1996-03-19,26.75
1996-03-20,26.375
1996-03-21,26.375
1996-03-22,27.0
1996-03-25,26.625
1996-03-26,26.375
1996-03-27,26.0
1996-03-28,26.875
1996-03-29,26.75
1996-04-01,26.0
1996-04-02,27.0
1996-04-03,26.5
1996-04-04,26.0
1996-04-08,25.625
1996-04-09,25.75
1996-04-10,26.5
1996-04-11,25.875
1996-04-12,26.5
1996-04-15,26.625
1996-04-16,27.0
1996-04-17,27.0
1996-04-18,26.25
1996-04-19,26.0
1996-04-22,26.875
1996-04-23,26.75
1996-04-24,26.75
1996-04-25,27.0
1996-04-26,26.875
1996-04-29,26.5
1996-04-30,26.875
1996-05-01,26.5
1996-05-02,25.5
1996-05-03,26.0
1996-05-06,25.75
1996-05-07,25.75
1996-05-08,25.5
1996-05-09,25.0
1996-05-10,25.125
1996-05-13,26.75
1996-05-14,27.375
1996-05-15,28.125
1996-05-16,29.625
1996-05-17,28.75
1996-05-20,31.75
1996-05-21,30.0
1996-05-22,29.875
1996-05-23,29.375
1996-05-24,29.25
1996-05-28,29.375
1996-05-29,29.875
1996-05-30,30.0
1996-05-31,30.125
1996-06-03,30.0
1996-06-04,30.0
1996-06-05,30.25
1996-06-06,30.375
1996-06-07,30.875
1996-06-10,31.75
1996-06-11,31.0
1996-06-12,30.75
1996-06-13,30.375
1996-06-14,31.5
1996-06-17,32.875
1996-06-18,32.0
1996-06-19,31.375
1996-06-20,31.5
1996-06-21,32.375
1996-06-24,34.25
1996-06-25,34.375
1996-06-26,33.75
1996-06-27,33.375
1996-06-28,33.25
1996-07-01,34.125
1996-07-02,34.625
1996-07-03,34.75
1996-07-05,33.875
1996-07-08,34.0
1996-07-09,35.75
1996-07-10,36.0
1996-07-11,34.375
1996-07-12,34.625
1996-07-15,31.25
1996-07-16,30.5
1996-07-17,33.5
1996-07-18,33.25
1996-07-19,31.5
1996-07-22,31.0
1996-07-23,29.375
1996-07-24,28.5
1996-07-25,29.625
1996-07-26,29.875
1996-07-29,30.125
1996-07-30,29.5
1996-07-31,30.0
1996-08-01,30.125
1996-08-02,31.375
1996-08-05,30.5
1996-08-06,31.5
1996-08-07,31.375
1996-08-08,32.0
1996-08-09,31.875
1996-08-12,31.5
1996-08-13,31.125
1996-08-14,31.875
1996-08-15,31.5
1996-08-16,31.375
1996-08-19,30.0
1996-08-20,31.875
1996-08-21,31.0
1996-08-22,31.75
1996-08-23,31.625
1996-08-26,31.375
1996-08-27,31.375
1996-08-28,31.75
1996-08-29,32.75
1996-08-30,33.125
1996-09-03,33.125
1996-09-04,33.25
1996-09-05,32.0
1996-09-06,33.375
1996-09-09,33.75
1996-09-10,33.625
1996-09-11,34.375
1996-09-12,33.875
1996-09-13,34.375
1996-09-16,35.5
1996-09-17,34.375
1996-09-18,33.625
1996-09-19,33.75
1996-09-20,33.5
1996-09-23,33.25
1996-09-24,32.75
1996-09-25,32.75
1996-09-26,33.5
